density_var,var,exp,center,model,member,size_mb,finite_frac,status
sigma_1,thetao,abrupt-4xCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,7309.2,0.3669,ok
sigma_1,thetao,abrupt-4xCO2,IPSL,IPSL-CM6A-MR1,r1i1p1f1,1408.8,0.4021,ok
sigma_1,thetao,abrupt-4xCO2,MIROC,MIROC-ES2L,r1i1p1f2,1312.2,0.3943,ok
sigma_1,thetao,abrupt-4xCO2,MIROC,MIROC6,r1i1p1f1,2068.3,0.3627,ok
sigma_1,thetao,abrupt-4xCO2,MOHC,HadGEM3-GC31-LL,r1i1p1f3,1369.2,0.4064,ok
sigma_1,thetao,abrupt-4xCO2,MOHC,UKESM1-0-LL,r1i1p1f2,2648.8,0.4039,ok
sigma_1,thetao,abrupt-4xCO2,MPI-M,MPI-ESM1-2-HR,r1i1p1f1,1535.6,0.3915,ok
sigma_1,thetao,abrupt-4xCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1465.3,0.3774,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r10i1p1f1,1382.4,0.4108,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r11i1p1f1,59.3,0.4216,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r12i1p1f1,59.1,0.421,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r13i1p1f1,1381.6,0.4094,ok
